source_path,language,program_type,recur_type,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,summary
c_bench_term/aaron3_false-no-overflow-version.c,C,loop,,Linear,1,1,4,False,False,True,False,True,15,开始一个循环，根据非确定性输入更新变量直到条件不满足。
c_bench_term/aaron3_false-no-overflow.c,C,loop,,Linear,1,1,4,False,False,True,False,True,19,开始一个循环，根据非确定性条件更新变量直到循环条件不再满足。
c_bench_term/aaron3_true-termination_true-valid-memsafety.c,C,loop,,Linear,1,1,4,False,False,True,False,True,25,开始一个循环，根据非确定性条件更新变量，直到循环条件不满足。
c_bench_term/aviad_true-termination_true-no-overflow-version1.c,C,loop,,Linear,1,1,1,False,False,True,False,False,11,开始一个循环，根据数值的奇偶性和是否被3整除来更新变量a的值。
c_bench_term/aviad_true-termination_true-no-overflow-version2.c,C,loop,,Linear,1,1,1,False,False,True,False,False,10,开始一个循环，根据变量a的奇偶性对其进行除以2或加1操作，直到a小于等于1。
c_bench_term/aviad_true-termination_true-no-overflow-version3.c,C,loop,,Linear,1,1,1,False,False,True,False,False,10,分析一个非确定整数，通过循环不断减小其值直到不大于1。
c_bench_term/aviad_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,False,10,开始一个循环，根据变量a的奇偶性对其进行除以2或减1操作，直到a不大于1。
c_bench_term/b.03-no-inv_assume_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,13,开始一个循环，当x大于y且y不超过整数最大值减x时，将x加到y上。
c_bench_term/b.10_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,19,开始一个循环，根据x和y的值逐步递减，直到满足特定条件为止。
c_bench_term/b.11_true-termination_true-no-overflow-simpl.c,C,loop,,Linear,1,1,2,False,False,True,False,False,21,开始一个循环，根据x和y的大小关系逐步递减，直到它们的和不大于0。
c_bench_term/b.11_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,21,开始执行一个循环，根据x和y的大小关系逐步递减它们的值，直到不满足特定条件。
c_bench_term/c.07_true-termination_true-no-overflow-simpl.c,C,loop,,Linear,1,1,1,False,False,True,False,False,15,开始一个循环，当i小于等于100时交换i和j的值并递增。
c_bench_term/c.07_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,True,17,开始一个循环，根据条件更新变量i、j和k的值，直到不满足循环条件为止。
c_bench_term/determ_term_1.c,C,loop,,Linear,1,1,1,False,False,True,False,False,10,通过循环不断更新x和y的值，直到x等于0时退出循环并返回。
c_bench_term/determ_term_2.c,C,loop,,Linear,1,1,1,False,False,True,False,False,10,执行一个永远不会终止的循环，因为循环条件始终不满足。
c_bench_term/determ_term_3.c,C,loop,,Linear,1,1,3,False,False,True,False,True,13,使用循环更新变量x、y、z的值，直到它们相等。
c_bench_term/determ_term_4.c,C,loop,,Linear,1,1,3,False,False,True,False,True,12,通过循环更新变量值，直到满足特定条件。
c_bench_term/determ_term_5.c,C,loop,,Linear,1,1,2,False,False,True,False,True,13,开始执行一个循环，更新变量i、j、k的值，直到i等于j为止。
c_bench_term/determ_term_6.c,C,loop,,Linear,1,1,3,False,False,True,False,True,14,执行一个循环，更新变量x、y、z的值，直到它们的和为零。
c_bench_term/determ_term_7.c,C,loop,,Linear,1,1,1,False,False,True,False,False,18,执行一个循环，不断更新变量值，直到条件不满足为止。
c_bench_term/determ_term_8.c,C,loop,,Linear,1,1,1,False,False,True,False,False,20,初始化变量后进入循环，不断更新变量值，直到条件不满足。
c_bench_term/eca_bounded_core.c,C,loop,,Linear,1,1,2,False,False,True,False,True,57,根据输入和全局状态计算输出并更新状态，返回特定值。
c_bench_term/ex1_false-no-overflow_true-termination.c,C,loop,,Linear,1,1,1,False,False,True,False,True,13,计算x的y次幂，使用循环将r初始化为1后连续乘以x共y次。
c_bench_term/for_bounded_loop1_false-unreach-call_true-termination-simplified.c,C,loop,,Linear,1,1,2,False,False,True,False,False,15,使用循环更新变量x和y，循环次数由非确定性输入n决定。
c_bench_term/genady_true-termination_true-no-overflow-version.c,C,loop,,Linear,1,1,2,False,False,True,False,False,10,开始执行一个循环，每次将 j 加 3，i 减 2，直到 i - j 小于 1。
c_bench_term/genady_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,False,10,开始执行一个循环，每次将j加1，i减1，直到i与j的差小于1。
c_bench_term/java_AG313_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,15,计算在满足 x 和 y 大于 0 的条件下，循环执行的次数。
c_bench_term/min_rf-alloca_true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,True,16,开始一个循环，根据非确定性条件更新变量x、y和z的值。
c_bench_term/nonlin_div_term_1.c,C,loop,,Linear,1,1,2,False,False,True,False,False,15,分析两个非确定整数，若满足条件则通过循环递减x直到等于y。
c_bench_term/nonlin_div_term_2.c,C,loop,,Linear,1,1,1,False,False,True,False,False,15,使用非确定值初始化x和y，当x大于0时循环将x除以y。
c_bench_term/nonlin_jump_over_1_term.c,C,loop,,Linear,1,1,2,False,False,True,False,False,15,检查非确定性输入x和y，当y大于1时进入循环并根据x除以y的余数调整x的值。
c_bench_term/nonlin_mod_term_1.c,C,loop,,Linear,1,1,2,False,False,True,False,False,15,计算两个非确定整数在满足条件时的模运算结果。
c_bench_term/nonlin_mod_term_2.c,C,loop,,Linear,1,1,2,False,False,True,False,False,18,使用非确定性输入初始化x和y，在满足条件时通过取模或减法更新x，直到x不大于y。
c_bench_term/nonlin_mod_term_3.c,C,loop,,Linear,1,1,1,False,False,True,False,False,16,检查两个非负整数x和y，若x能被y整除，则循环将x减去y直到x为0。
c_bench_term/nonlin_mod_term_4.c,C,loop,,Linear,1,1,2,False,False,True,False,False,15,计算并递减y直到x能被y整除。
c_bench_term/nonlin_mult_term_1.c,C,loop,,Linear,1,1,1,False,False,True,False,True,14,计算变量x在循环中不断乘以y直到x不小于10000。
c_bench_term/nonlin_mult_term_2.c,C,loop,,Linear,1,1,1,False,False,True,False,True,15,开始一个程序，检查x和y的值，并在满足条件时通过循环更新x。
c_bench_term/nonlin_mult_term_3.c,C,loop,,Linear,1,1,1,False,False,True,False,True,17,开始一个程序，检查三个非确定性整数是否大于1，并在满足条件下通过乘法更新其中一个值。
c_bench_term/nonlin_mult_term_4.c,C,loop,,Linear,1,1,2,False,False,True,False,True,18,使用非确定输入验证变量增长关系，当i不小于j时循环更新i和j的值。
c_bench_term/nonlin_mult_term_5.c,C,loop,,Linear,1,1,1,False,False,True,False,True,16,计算两个非负整数的乘积并循环减去其中一个数直到结果为零。
c_bench_term/nonlin_mult_term_6.c,C,loop,,Linear,1,1,2,False,False,True,False,True,12,开始一个循环，当d乘以b大于0时，将b的值取反。
c_bench_term/nonlin_mult_term_7.c,C,loop,,Linear,1,1,1,False,False,True,False,True,15,使用非确定值初始化变量，并在满足条件时通过乘法更新循环变量。
c_bench_term/nonlin_mult_term_8.c,C,loop,,Linear,1,1,1,False,False,True,False,True,18,检查输入变量是否大于1，并在满足条件下通过循环不断更新其值。
c_bench_term/nonlin_mult_term_9.c,C,loop,,Linear,1,1,1,False,False,True,False,True,15,使用非确定性输入初始化变量，并在满足条件时通过循环更新变量值。
c_bench_term/term_01.c,C,loop,,Linear,1,1,2,False,False,True,False,False,15,分析两个非确定整数，当x大于y时循环递减x和y直到它们相等。
c_bench_term/term_02.c,C,loop,,Linear,1,1,3,False,False,False,False,True,15,分析代码的主要任务是执行一个循环，根据变量x、y、z的条件递减它们的值。
c_bench_term/term_03.c,C,loop,,Linear,1,1,3,False,False,False,False,False,15,分析代码中的循环条件并检查变量使用。
c_bench_term/term_04.c,C,loop,,Linear,1,1,2,False,False,True,False,True,19,开始一个循环，当两个非确定值都大于0时递减其中一个。
c_bench_term/term_05.c,C,loop,,Linear,1,1,2,False,False,True,False,False,14,计算并更新变量j的值，直到j小于等于d。
c_bench_term/term_06.c,C,loop,,Linear,1,1,1,False,False,True,False,False,11,开始一个循环，当x小于1000时不断检查x是否为7777，否则递增x。
c_bench_term/term_07.c,C,loop,,Linear,1,1,1,False,False,True,False,False,13,通过循环根据y的值修改x和y，直到x小于等于0。
c_bench_term/term_08.c,C,loop,,Linear,1,1,1,False,False,False,False,False,11,执行一个当x大于0时递增x和y的循环。
c_bench_term/term_09.c,C,loop,,Linear,1,1,2,False,False,True,False,False,23,通过循环调整x和y的值，使它们最终等于K，用于验证变量变化过程。
c_bench_term/term_10.c,C,loop,,Linear,1,1,2,False,False,True,False,False,22,通过调整x和y的值，使它们最终相等并满足循环终止条件。
c_bench_term/term_11.c,C,loop,,Linear,1,1,3,False,False,True,False,False,21,调整变量x和y的值，使它们都等于K，每次循环逐步逼近。
c_bench_term/term_12.c,C,loop,,Linear,1,1,3,False,False,True,False,False,12,执行一个循环，直到变量i、j、k的和小于1为止。
c_bench_term/term_13.c,C,loop,,Linear,1,1,3,False,False,True,False,False,13,通过非确定性输入初始化变量，并在循环中根据条件修改变量值直至满足退出条件。
c_bench_term/term_14.c,C,loop,,Linear,1,1,4,False,False,True,False,False,14,执行一个循环，当四个变量之和为零时持续修改它们的值。
c_bench_term/term_15.c,C,loop,,Linear,1,1,2,False,False,True,False,False,16,通过循环不断递增x和y的值，直到x除以50的结果不等于y。
c_bench_term/term_16.c,C,loop,,Linear,1,1,2,False,False,True,False,True,17,通过非确定性输入初始化变量，并在循环中根据条件更新它们的值。
